id,name,prompt,completion,context_length,modality,input_modalities,output_modalities,supports_reasoning,supports_structured_outputs,supports_tools
openai/gpt-3.5-turbo,OpenAI: GPT-3.5 Turbo,5E-7,0.0000015,16385,text->text,text,text,False,True,True
openai/gpt-3.5-turbo-0613,OpenAI: GPT-3.5 Turbo (older v0613),0.000001,0.000002,4095,text->text,text,text,False,True,True
openai/gpt-3.5-turbo-16k,OpenAI: GPT-3.5 Turbo 16k,0.000003,0.000004,16385,text->text,text,text,False,True,True
openai/gpt-3.5-turbo-instruct,OpenAI: GPT-3.5 Turbo Instruct,0.0000015,0.000002,4095,text->text,text,text,False,True,False
openai/gpt-4,OpenAI: GPT-4,0.00003,0.00006,8191,text->text,text,text,False,True,True
openai/gpt-4-turbo,OpenAI: GPT-4 Turbo,0.00001,0.00003,128000,text+image->text,"text,image",text,False,True,True
openai/gpt-4-turbo-preview,OpenAI: GPT-4 Turbo Preview,0.00001,0.00003,128000,text->text,text,text,False,True,True
openai/gpt-4.1,OpenAI: GPT-4.1,0.000002,0.000008,1047576,text+image+file->text,"image,text,file",text,False,True,True
openai/gpt-4.1-mini,OpenAI: GPT-4.1 Mini,4E-7,0.0000016,1047576,text+image+file->text,"image,text,file",text,False,True,True
openai/gpt-4.1-nano,OpenAI: GPT-4.1 Nano,1E-7,4E-7,1047576,text+image+file->text,"image,text,file",text,False,True,True
openai/gpt-4o,OpenAI: GPT-4o,0.0000025,0.00001,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-2024-05-13,OpenAI: GPT-4o (2024-05-13),0.000005,0.000015,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-2024-08-06,OpenAI: GPT-4o (2024-08-06),0.0000025,0.00001,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-2024-11-20,OpenAI: GPT-4o (2024-11-20),0.0000025,0.00001,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-mini,OpenAI: GPT-4o-mini,1.5E-7,6E-7,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-mini-2024-07-18,OpenAI: GPT-4o-mini (2024-07-18),1.5E-7,6E-7,128000,text+image+file->text,"text,image,file",text,False,True,True
openai/gpt-4o-mini-search-preview,OpenAI: GPT-4o-mini Search Preview,1.5E-7,6E-7,128000,text->text,text,text,False,True,False
openai/gpt-4o-search-preview,OpenAI: GPT-4o Search Preview,0.0000025,0.00001,128000,text->text,text,text,False,True,False
openai/gpt-5,OpenAI: GPT-5,0.00000125,0.00001,400000,text+image+file->text,"text,image,file",text,True,True,True
openai/gpt-5-chat,OpenAI: GPT-5 Chat,0.00000125,0.00001,128000,text+image+file->text,"file,image,text",text,False,True,False
openai/gpt-5-codex,OpenAI: GPT-5 Codex,0.00000125,0.00001,400000,text+image->text,"text,image",text,True,True,True
