id,name,prompt,completion,context_length,modality,input_modalities,output_modalities,supports_reasoning,supports_structured_outputs,supports_tools
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),0,0,32768,text->text,text,text,False,True,False
google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free),0,0,262144,text+image+video->text,"image,text,video",text,True,False,True
google/gemma-4-31b-it:free,Google: Gemma 4 31B (free),0,0,262144,text+image+video->text,"image,text,video",text,True,False,True
liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free),0,0,32768,text->text,text,text,False,False,False
liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free),0,0,32768,text->text,text,text,True,False,False
meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),0,0,131072,text->text,text,text,False,False,False
meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),0,0,131072,text->text,text,text,False,False,True
nex-agi/nex-n2-pro:free,Nex AGI: Nex-N2-Pro (free),0,0,262144,text+image->text,"text,image",text,True,True,True
nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),0,0,131072,text->text,text,text,False,False,False
nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),0,0,256000,text->text,text,text,True,False,True
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free),0,0,256000,text+image+audio+video->text,"text,audio,image,video",text,True,False,True
nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free),0,0,1000000,text->text,text,text,True,True,True
nvidia/nemotron-3-ultra-550b-a55b:free,NVIDIA: Nemotron 3 Ultra (free),0,0,1000000,text->text,text,text,True,False,True
nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),0,0,128000,text+image+video->text,"image,text,video",text,True,False,True
nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),0,0,128000,text->text,text,text,True,True,True
openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free),0,0,131072,text->text,text,text,True,False,True
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),0,0,131072,text->text,text,text,True,False,True
poolside/laguna-m.1:free,Poolside: Laguna M.1 (free),0,0,262144,text->text,text,text,True,False,True
poolside/laguna-xs.2:free,Poolside: Laguna XS.2 (free),0,0,262144,text->text,text,text,True,False,True
qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),0,0,1048576,text->text,text,text,False,False,True
qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),0,0,262144,text->text,text,text,False,True,True
