id,name,prompt,completion,context_length,modality,input_modalities,output_modalities,supports_reasoning,supports_structured_outputs,supports_tools
inclusionai/ling-2.6-flash,inclusionAI: Ling-2.6-flash,1E-8,3E-8,262144,text->text,text,text,False,True,True
meta-llama/llama-3.1-8b-instruct,Meta: Llama 3.1 8B Instruct,2E-8,3E-8,131072,text->text,text,text,False,True,True
mistralai/mistral-nemo,Mistral: Mistral Nemo,2E-8,3E-8,131072,text->text,text,text,False,True,True
sao10k/l3-lunaris-8b,Sao10K: Llama 3 8B Lunaris,4E-8,5E-8,8192,text->text,text,text,False,True,False
gryphe/mythomax-l2-13b,MythoMax 13B,6E-8,6E-8,4096,text->text,text,text,False,True,False
ibm-granite/granite-4.0-h-micro,IBM: Granite 4.0 Micro,1.7E-8,1.12E-7,131000,text->text,text,text,False,False,False
mistralai/mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,5E-8,8E-8,32768,text->text,text,text,False,True,False
qwen/qwen-2.5-7b-instruct,Qwen: Qwen2.5 7B Instruct,4E-8,1E-7,131072,text->text,text,text,False,False,False
google/gemma-3-4b-it,Google: Gemma 3 4B,5E-8,1E-7,131072,text+image->text,"text,image",text,False,True,False
ibm-granite/granite-4.1-8b,IBM: Granite 4.1 8B,5E-8,1E-7,131072,text->text,text,text,False,True,True
liquid/lfm-2-24b-a2b,LiquidAI: LFM2-24B-A2B,3E-8,1.2E-7,128000,text->text,text,text,False,False,False
openai/gpt-oss-20b,OpenAI: gpt-oss-20b,2.9E-8,1.4E-7,131072,text->text,text,text,True,True,True
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,3.5E-8,1.4E-7,128000,text->text,text,text,False,False,True
google/gemma-3n-e4b-it,Google: Gemma 3n 4B,6E-8,1.2E-7,32768,text->text,text,text,False,False,False
cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),3.75E-8,1.5E-7,128000,text->text,text,text,False,True,False
qwen/qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507,9E-8,1E-7,262144,text->text,text,text,False,True,True
arcee-ai/trinity-mini,Arcee AI: Trinity Mini,4.5E-8,1.5E-7,131072,text->text,text,text,True,True,True
google/gemma-3-12b-it,Google: Gemma 3 12B,5E-8,1.5E-7,131072,text+image->text,"text,image",text,False,True,True
mistralai/ministral-3b-2512,Mistral: Ministral 3 3B 2512,1E-7,1E-7,131072,text+image->text,"text,image",text,False,True,True
qwen/qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507,1E-7,1E-7,262144,text->text,text,text,True,True,True
rekaai/reka-edge,Reka Edge,1E-7,1E-7,16384,text+image+video->text,"image,text,video",text,False,True,True
microsoft/phi-4,Microsoft: Phi 4,6.5E-8,1.4E-7,16384,text->text,text,text,False,True,False
openai/gpt-oss-120b,OpenAI: gpt-oss-120b,3.9E-8,1.8E-7,131072,text->text,text,text,True,True,True
meta-llama/llama-3.2-1b-instruct,Meta: Llama 3.2 1B Instruct,2.7E-8,2.01E-7,131072,text->text,text,text,False,False,False
google/gemma-3-27b-it,Google: Gemma 3 27B,8E-8,1.6E-7,131072,text+image->text,"text,image",text,False,True,True
qwen/qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507,4.815E-8,1.9305E-7,131072,text->text,text,text,False,True,True
nvidia/nemotron-3-nano-30b-a3b,NVIDIA: Nemotron 3 Nano 30B A3B,5E-8,2E-7,262144,text->text,text,text,True,False,True
qwen/qwen3.5-9b,Qwen: Qwen3.5-9B,1E-7,1.5E-7,262144,text+image+video->text,"text,image,video",text,True,True,True
tencent/hy3-preview,Tencent: Hy3 preview,6.3E-8,2.1E-7,262144,text->text,text,text,True,False,True
